rep,div,theta_cov50,theta_cov90,theta_mean,theta_sd,theta_rank,sigma_cov50,sigma_cov90,sigma_mean,sigma_sd,sigma_rank,tau_cov50,tau_cov90,tau_mean,tau_sd,tau_rank
97,0,0,1,2.267596385285714,0.21706832290376807,0.10285714285714286,0,0,0.5876411895357143,0.11503097305987438,0.9985714285714286,0,0,0.47823835915,0.05823244153211965,0.0
98,0,0,1,1.5976397216,0.3610089944595573,0.875,0,1,0.9195426905642858,0.11119809203569778,0.7571428571428571,1,1,0.22577369703323574,0.10744671535093869,0.7357142857142858
99,0,0,1,1.6848314087214287,0.4389409675645088,0.755,0,1,1.163201676642857,0.10326904772827454,0.06571428571428571,0,1,0.17562001270385716,0.11207867163245232,0.8514285714285714
100,0,1,1,1.9507518225014284,0.4694636709352161,0.5414285714285715,0,0,1.2180236757642857,0.12660545065198162,0.04928571428571429,1,1,0.23711877550352856,0.12826834425482403,0.6735714285714286
101,0,1,1,2.1399449613285713,0.4476051728417994,0.37142857142857144,0,1,1.1759734309,0.11944733938987316,0.08,1,1,0.2369075692268071,0.11898086147132508,0.6742857142857143
102,0,0,1,2.644375798857143,0.40259388712050115,0.05928571428571429,0,1,1.0849596919642857,0.09683447968571472,0.17857142857142858,0,1,0.16996534916249284,0.10037924838858735,0.8935714285714286
103,0,1,1,2.209746330192857,0.39340542149239743,0.29928571428571427,1,1,1.0739580110857143,0.1215820375447169,0.2792857142857143,1,1,0.22712466739705,0.12153011829218317,0.6985714285714286
104,0,0,1,1.6522040964500002,0.3933201054650264,0.8157142857142857,1,1,1.043449192457143,0.1221035925804066,0.36357142857142855,1,1,0.2658869531887143,0.11042178349290614,0.585
105,0,1,1,1.8076617348928572,0.3849121586471475,0.685,1,1,1.0622660073428571,0.12066437814300035,0.2957142857142857,1,1,0.22637502880327143,0.119608843021262,0.7021428571428572
106,0,0,1,1.6434199238185716,0.44483794448400105,0.7807142857142857,0,1,1.1476626555785714,0.0990535915209185,0.07428571428571429,0,1,0.17716821368775,0.10214551466328912,0.8785714285714286
107,0,0,1,1.6959389646571428,0.3346750692235866,0.8228571428571428,0,1,0.8641755580571429,0.12293350074450361,0.8621428571428571,0,1,0.3964743598928572,0.08303996831172555,0.09928571428571428
108,0,0,1,1.7350670768500003,0.34794828068880534,0.7878571428571428,1,1,0.9220820751428571,0.11767760771666529,0.7442857142857143,1,1,0.2660662640724214,0.09955329249668918,0.5914285714285714
109,0,0,1,2.4834418447357143,0.4294670976121157,0.12785714285714286,0,0,1.1791530248928572,0.09625226340204596,0.03785714285714286,0,1,0.15804129922719284,0.10333880573751646,0.8964285714285715
110,0,0,1,1.454914610992857,0.3953330823787073,0.9178571428571428,0,1,1.0700506424285716,0.1008102027921017,0.21,0,1,0.16914747881485573,0.10981957861388157,0.8664285714285714
111,0,1,1,1.865138830392857,0.42187820552220606,0.6264285714285714,0,1,1.1163720191714286,0.14753448864757526,0.235,1,1,0.3336275249657143,0.11784548883726034,0.36357142857142855
112,0,0,1,1.5140898821142854,0.4147390225752091,0.8807142857142857,0,1,1.1159144375428571,0.14522036298737698,0.22214285714285714,1,1,0.2914006620193571,0.13398232086371611,0.48714285714285716
113,0,0,1,2.251328514785714,0.33939880324410815,0.22642857142857142,1,1,0.9377258942285714,0.12167712847890388,0.7014285714285714,1,1,0.3294892552564285,0.09691656879112864,0.3414285714285714
114,0,0,1,2.4746388084285713,0.39173180178256867,0.11357142857142857,1,1,1.0455994871071428,0.08168335282171453,0.2907142857142857,0,0,0.11552040555010713,0.0797413161631411,0.9771428571428571
115,0,0,0,1.2715518382257143,0.3400068754299448,0.9842857142857143,0,1,0.8978585218428571,0.1267052401542669,0.7678571428571429,1,1,0.27205243475269286,0.1094580971581294,0.5528571428571428
116,0,0,1,1.5446486403214283,0.41332454014147796,0.8671428571428571,1,1,1.048241333542857,0.1151623352047147,0.34214285714285714,1,1,0.2246268796780714,0.11497661105970276,0.7185714285714285
117,0,1,1,1.9028314610285715,0.3141814896490144,0.6228571428571429,0,0,0.7714061849571427,0.12382605847571024,0.9614285714285714,0,1,0.39378015583428577,0.0762366110117712,0.105
118,0,1,1,2.072882402042857,0.31331868072127755,0.41285714285714287,0,1,0.8254065417428572,0.17655329416359242,0.8257142857142857,0,0,0.51251143175,0.09758586592214465,0.022857142857142857
119,0,0,0,2.7560905165714287,0.3948759901827079,0.03214285714285714,1,1,1.0521225320857144,0.14052265647520373,0.36142857142857143,1,1,0.30355529427405,0.12119092496202381,0.4235714285714286
120,0,1,1,2.0902233508928574,0.3875212105579515,0.4042857142857143,1,1,1.0348787400785715,0.12529230594015006,0.35714285714285715,1,1,0.22839332088997857,0.12182981604664808,0.6935714285714286
121,0,0,1,1.5833678867785717,0.30824434032268366,0.9028571428571428,0,1,0.8100227682000001,0.1284184616982108,0.9271428571428572,0,1,0.3614450434264285,0.08757324531764568,0.20714285714285716
122,0,1,1,2.274214378042857,0.448413365762908,0.26571428571428574,0,1,1.17519762015,0.10034827591253977,0.05357142857142857,0,1,0.1674488812476107,0.10412788121884937,0.8864285714285715
123,0,1,1,2.2187692144928572,0.40827852380516294,0.2907142857142857,0,1,1.0821560403285713,0.11319064596183809,0.24642857142857144,1,1,0.23234786436614285,0.10478378390687977,0.7171428571428572
124,0,0,1,1.6063080203242854,0.39874561968152755,0.8378571428571429,1,1,1.0663330691785715,0.13918223474902316,0.2957142857142857,1,1,0.2526025773474571,0.13230463369171144,0.6171428571428571
125,0,1,1,1.899360910207143,0.401572031707792,0.5864285714285714,0,1,1.1152794629,0.11776023714587784,0.16357142857142856,1,1,0.22264200803311432,0.12171868866686476,0.7142857142857143
126,0,1,1,2.1428754425714285,0.4166656562173163,0.36714285714285716,0,1,1.1218840078428571,0.11199679446677609,0.14,0,1,0.20603863641540215,0.1132965000901828,0.7621428571428571
